,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
0,2454,5150,USA,2019,Madagascar,"Bejofo Estate, batch 1","0,76","3- B,S,C","cocoa, blackberry, full body","3,75",EUA
1,2458,5150,USA,2019,Dominican Republic,"Zorzal, batch 1","0,76","3- B,S,C","cocoa, vegetal, savory","3,5",EUA
2,2454,5150,USA,2019,Tanzania,"Kokoa Kamili, batch 1","0,76","3- B,S,C","rich cocoa, fatty, bready","3,25",EUA
3,2542,5150,USA,2021,India,"Anamalai, batch 1","0,68","3- B,S,C","milk brownie, macadamia,chewy","3,5",EUA
4,2546,5150,USA,2021,Uganda,"Semuliki Forest, batch 1","0,8","3- B,S,C","mildly bitter, basic cocoa, fatty","3,25",EUA
5,2542,5150,USA,2021,Fiji,"Matasawalevu, batch 1","0,68","3- B,S,C","chewy, off, rubbery","3,0",EUA
6,2546,5150,USA,2021,Venezuela,"Sur del Lago, batch 1","0,72","3- B,S,C","fatty, earthy, moss, nutty,chalky","3,0",EUA
7,2924,20/20,Venezuela,2024,Venezuela,"Chuao, Hacienda Luna Clara, Aragua","0,7","2- B,S","choco, fruity, chemical off","2,5",Venezuela
8,2808,20N | 20S,France,2022,Venezuela,"Chuao, 2020 Harvest","0,78","2- B,S","sl. dry, fruit, cocoa, ham","3,0",França
9,2808,20N | 20S,France,2022,Venezuela,"Chuao, 2018 Harvest","0,78","2- B,S","sandy, astringent, soil, grassy","2,75",França
10,2860,2U,Japan,2023,Vietnam,Ben Tre,"0,7","3- B,S, L","tart, sour, rancid like","2,5",Japão
11,2948,A. Craft,USA,2024,Tanzania,"Kokoa Kamili, batch 4","0,65","3- B,S,C","sweet, cocoa, cherry","3,25",EUA
12,2948,A. Craft,USA,2024,India,"Anamalai, batch 1","0,7","3- B,S,C","mild, raisins, pear","3,0",EUA
13,2952,A. Craft,USA,2024,Peru,"Ucayali, batch 4","0,65","3- B,S,C","pungent grape, apple, tart","3,0",EUA
14,2952,A. Craft,USA,2024,Dominican Republic,"Zorzal, batch 1","0,7","3- B,S,C","sl. sandy, cocoa, earthy","3,0",EUA
15,797,A. Morin,France,2012,Peru,Peru,"0,63","4- B,S,C,L","fruity, melon, roasty","3,75",França
16,797,A. Morin,France,2012,Bolivia,Bolivia,"0,7","4- B,S,C,L","vegetal, nutty","3,5",França
17,1015,A. Morin,France,2013,Venezuela,Chuao,"0,7","4- B,S,C,L","oily, nut, caramel, raspberry","4,0",França
18,1019,A. Morin,France,2013,Peru,Chanchamayo Province,"0,63","3- B,S,C","sweet, cocoa, tangerine","4,0",França
19,1011,A. Morin,France,2013,Ecuador,Equateur,"0,7","4- B,S,C,L","sandy, nutty, cocoa, fig","3,75",França
20,1019,A. Morin,France,2013,Peru,Chanchamayo Province,"0,7","4- B,S,C,L","cocoa,sour,intense tangerine","3,5",França
21,1011,A. Morin,France,2013,Brazil,Brazil,"0,7","4- B,S,C,L",mild tobacco,"3,25",França
22,1015,A. Morin,France,2013,Papua New Guinea,Papua New Guinea,"0,7","4- B,S,C,L","mild fruit, strong smoke","3,25",França
23,1019,A. Morin,France,2013,Peru,Piura,"0,7","4- B,S,C,L","green, nutty, cocoa","3,25",França
24,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo","0,7","4- B,S,C,L","sticky, red fruit, sour","3,0",França
25,1015,A. Morin,France,2013,Burma,Birmanie,"0,7","4- B,S,C,L","sticky, smokey, grass","3,0",França
26,1011,A. Morin,France,2013,Panama,Panama,"0,7","4- B,S,C,L","brief fruit note, earthy, nutty","2,75",França
27,1015,A. Morin,France,2013,Colombia,Colombie,"0,7","4- B,S,C,L","burnt rubber,alkalyzed notes","2,75",França
28,1319,A. Morin,France,2014,Peru,Pablino,"0,7","4- B,S,C,L","delicate, hazelnut, brownie","4,0",França
29,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo","0,7","4- B,S,C,L","astringent, nutty, chocolatey","3,75",França
30,1315,A. Morin,France,2014,Cuba,Cuba,"0,7","4- B,S,C,L","sliglty dry, papaya","3,5",França
31,1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo","0,7","4- B,S,C,L","nutty, mild choco, roasty","3,5",França
32,1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo","0,7","4- B,S,C,L","harsh, leather, earthy","2,75",França
33,1680,A. Morin,France,2015,Togo,Akata,"0,7","4- B,S,C,L","mild profile, chocolaty, spice","3,5",França
34,1704,A. Morin,France,2015,Peru,Quilla,"0,7","4- B,S,C,L","grainy texture, cocoa, sweet","3,5",França
35,1676,A. Morin,France,2015,Togo,Atsane,"0,7","4- B,S,C,L","roasty, acidic, nutty","3,0",França
36,1676,A. Morin,France,2015,Togo,Kpime,"0,7","4- B,S,C,L","burnt wood, earthy, choco","2,75",França
37,1876,A. Morin,France,2016,Sao Tome,Agua Grande,"0,63","4- B,S,C,L","sweet, chocolatey, vegetal","3,75",França
38,2206,A. Morin,France,2018,Peru,Absolu,"0,63","4- B,S,C,L","sweet, dairy, spice, cocoa","3,75",França
